time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
0.600,101.8985,14.446,246.303,-443.814,-216.482,-38.741,463.115
0.620,101.8941,15.766,255.673,-443.814,-225.376,-54.086,468.490
0.640,101.8792,18.218,264.526,-421.046,-218.261,-24.150,442.669
0.660,101.8723,20.493,273.155,-408.594,-213.636,-48.803,431.450
0.680,101.8580,24.188,281.627,-402.368,-210.612,-38.741,423.605
0.700,101.8444,28.324,290.452,-417.132,-221.107,-35.470,441.240
0.720,101.8385,31.560,298.868,-398.277,-212.924,-34.967,420.772
0.740,101.8254,35.084,307.383,-398.277,-221.818,-43.520,425.754
0.760,101.8084,39.278,315.858,-387.248,-228.222,-76.475,423.755
0.780,101.7994,43.174,323.832,-357.542,-236.582,-43.269,398.706
0.800,101.7914,46.635,331.433,-344.557,-224.664,-27.672,380.061
0.820,101.7782,49.845,338.900,-343.489,-214.347,-23.395,373.358
0.840,101.7631,53.652,347.202,-384.936,-217.727,-67.167,415.116
0.860,101.7510,57.028,355.149,-366.792,-213.102,-67.419,397.328
0.880,101.7348,60.783,362.655,-349.004,-194.247,-80.752,375.300
0.900,101.7175,64.926,369.960,-358.253,-163.295,-54.338,365.246
0.920,101.7076,68.600,377.154,-354.518,-156.002,-59.620,359.685
0.940,101.6947,72.196,384.184,-341.177,-156.536,-79.494,351.498
0.960,101.6785,76.056,390.919,-302.577,-185.175,-101.380,336.745
0.980,101.6608,80.276,397.657,-334.417,-143.373,-62.136,336.923
1.000,101.6448,84.589,404.113,-315.028,-148.887,-67.922,322.798
1.020,101.6239,89.474,410.262,-289.769,-165.963,-62.136,307.463
1.040,101.6094,94.121,416.706,-316.096,-147.108,-63.394,322.167
1.060,101.5916,98.907,422.996,-310.225,-136.969,-72.198,314.517
1.080,101.5745,103.720,428.921,-277.851,-162.584,-65.155,296.251
1.100,101.5546,108.811,434.899,-290.836,-144.618,-64.148,298.882
1.120,101.5395,113.614,440.931,-284.433,-146.397,-95.342,301.602
1.140,101.5193,118.710,446.682,-284.433,-135.724,-54.086,287.563
